Sample.number,AceticAcid,Creatinine,Succinate,Acetaminophen,CitraconicAcid,L-Glycine,BenzoicAcid,L-Phenylalanine,L-Methionine,GlycolicAcid,L-GlutamicAcid,2-AminoAdipicAcid,3-PhosphoglycericAcid,L-Proline,KynurenicAcid,L-Arginine,D-Sorbitol,L-Ornithine,MandelicAcid,GlutaricAcid,Xylitol,Phenethylamine,L-Glutamine,3-PhenylPropionicAcid,Malonate,Propionate,L-Tyrosine,Threitol,L-Serine,L-Citrulline,trans-4-Hydroxy-L-Proline,L-Alanine,D-Mannose,Azelaic Acid,3-Hydroxybutyrate,2-MethylglutaricAcid,L-Tryptophane,L-Lysine,Spermidine,Butyrate,GABA,L-Arabitol,Galactitol,Dihydroxyacetone-phosphate,Dimethylamine,L-Anserine,Cytosine,Retinal,5-AminoValericAcid,PropyleneGlycol,Acetoacetate,2-Propanol,PhenylglyoxylicAcid,N-AcetylneuraminicAcid,L-Isoleucine,UrocanicAcid,4-HydroxyphenylAceticAcid,LinoleicAcid,N-Acetyl-L-AsparticAcid,MethylmalonicAcid,L-Valine,OleicAcid,HomovanillicAcid,IsovalericAcid,alpha-HydroxyisobutyricAcid,Acetone,O-Acetyl-L-Carnitine,PhosphoglycolicAcid,Dihydrothymine,D-Galactosamine,ThreonicAcid,IsocitricAcid,Ethanolamine,Putrescine,Lactose,Glycerol,Taurine,AscorbicAcid,PyroglutamicAcid,Indoxylsulfate,"1,3-Diaminopropane",L-Carnosine,Levoglucosan,Myo-Inositol,1-Methylhydantoin,NADP,Trimethylamine,4-EthylPhenol,TMAO,CholineChloride,Lactate,D-GluconicAcid,Creatine,Citrate,D-Fructose,Hypotaurine,D-Fucose,3-Methylxanthine,L-Cysteine,PimelicAcid,L-Aspartate,QuinolinicAcid,L-Arabinose,L-Histidine,D-Glucosamine,L-Threonine,Valerate,Beta-Alanine,gamma-LinolenicAcid,GlutaconicAcid,HippuricAcid,trans-FerulicAcid,3-MethyladipicAcid,Trigonelline,L-Glutathione-oxidized,VanillicAcid,Sarcosine,Glycerophosphocholine,SyringicAcid,Canthaxanthin,Coenzyme-Q10,D-GalacturonicAcid,L-Rhamnose,DehydroAscorbicAcid,D-GlucuronicAcid,GlycericAcid,SaccaricAcid,Glycogen,MalicAcid,L-Glutathione-reduced,2-Deoxycytidine,AdipicAcid,2-Deoxyguanosine,L-Leucine,Methanol,Methylguanidine,1-Methyl-L-Histidine,Dimethylsulfone,3-Methyl-L-Histidine,GuanidinoaceticAcid,L-Cystine,LevulinicAcid,GTP,2-Oxoglutarate,Betaine,Formate,2-PhosphoglycericAcid,D-Maltose,UDPG,StearicAcid,dAMP,Phosphocholine,N-Acetylglycine,Biliverdin,D-Xylose,D-Glucose-6-Phosphate,DocosahexaenoicAcid,NicotinuricAcid,S-Acetamidomethylcysteine,L-Asparagine,D-Glucose,Trans-AcotinicAcid,beta-HydroxyisovalericAcid,Uracil,D-Ribose,UMP,Methylamine,Dimethylglycine,L-Carnitine,EthylmalonicAcid,UTP,2-HydroxyphenylAceticAcid,4-AminoHippuricAcid,PantothenicAcid,beta-Carotene,7-Methylxanthine,TartaricAcid,2-PicolinicAcid,NAD,D-Galactose,3-HydroxyphenylAceticAcid,UDP,"D-Ribulose-1,5-bisphosphate",Chlorophyll-a,Phosphoenolpyruvate,Pyrocatechol,Uridine,Pyruvic-Acid,Cadaverine,SebacicAcid,GMP,2-Oxobutyrate
Sample_5011,0.00029578,0.02771594,0,0.00073124,0,0.00260809,0,0.00090557,0,0.00093472,0.00217203,0.00145622,0.00213939,0.00177919,0,0.00420873,0,0,0,0,0.00100594,0.00110169,0.00114749,0.00063337,0.00102209,0,0.00037954,0.00133043,0.00125316,0.00136333,0.00071868,0.00157808,0,0,0,0.00053654,0.00050495,0,0.00088679,0,0.00064603,0.0008939,0,0,0.00074474,0,0,0.00015038,0.00053851,0,0,0.00028855,0,0,0.00035108,0,0.00080067,0.00021046,0.00030608,0.00083543,0,0,0,0,0.00027272,0,0.00019475,0.00418209,0.00057487,0,0.00218721,0.00335492,0.00062967,0,0.00157357,0,0.00100579,0,0.00177864,0.00055829,0,0.00107233,0.00079727,0,0,0,0,0,0.00067352,0.00057234,0.00086601,0.00083583,0.0038224,0.00218558,0,0.0014152,0,0,0,0,0.00253862,0,0.00185561,0,0,0.00105519,0,0.00143613,0,0,0.00160732,0,0,0.0003258,0.00052174,0,0,0,0,0,7.21E-05,0.00298602,0,0,0,0.00109264,0,0.00102509,0.00294369,0,0.00066729,0.00059281,0.00038473,0.00036067,0,0,0,0.00018156,0,0,0.00062254,0,0,0.001,0,0.00082017,0,0,0,0,0,0.00049531,0,0,0,0,0,0,0.00037512,0.00180836,0.00103518,0.00062389,0.00041204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sample_5012,0,0.0189582,0,0.00128019,0,0.00169192,0,0.00074302,0,0,0.00125729,0.00118052,0.00291983,0.00174546,0,0.00170268,0,0.00167693,0,0,0.00080493,0.00125596,0,0.00059706,0.00066002,0,0.00032203,0.00165045,0.00399904,0.0016513,0.00112576,0.00098473,0,0,0.0002466,0,0.00051296,0,0.00095953,0,0,0,0,0.00044662,0.00062439,0.00037978,0,0,0.00053722,0.00039861,0,0,0.00053846,0.00025224,0.00023847,0,0,0.00042966,0.00031563,0.00043185,0,0.00031595,0,0,0.00014551,0,0.00017661,0,0.0023609,0,0.00079971,0.00186588,0,0,0.00175681,0,0.00164381,0,0.0015756,0,0.00057405,0.000668,0.00069083,0,0,0,0,0.00075882,0.00057882,0.0005562,0,0,0.00259931,0.000713,0.00137796,0,0.00062599,0,0,0,0.00156304,0,0.00216158,0.00075532,0.00098149,0.00078274,0,0.00100646,0,0,0.00581419,0,0,0.00061794,0,0,0,0,0,0,4.39E-05,0.00303625,0.00136651,0,0,0.00155518,0,0.00148735,0.0010679,0.00065628,0.00066532,0.00070598,0.00042733,0.00027622,0.00027143,0,0.0002193,0,0.00024584,0,0.00077382,0,0,0,0,0.00124396,0,0,0,0,0,0,0,0.00032861,0,0,0,0,0,0,0,0,0,0.00288924,0.00160524,0.000894,0.00027802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sample_5013,0,0.02392368,0,0.00099776,0,0.0019842,0,0.00092927,0,0.00137508,0.0034804,0.00250169,0.00234587,0.00194021,0,0.00224676,0.00068857,0.00210739,0,0,0.00138397,0.00123441,0.00159837,0.0008007,0,0,0.00082751,0.00196232,0,0.00140557,0.00083389,0.00112675,0,0,0,0,0,0,0,0,0.00078268,0,0,0.00046573,0.00076325,0.00055814,0,0.00027857,0.00050312,0.00027643,0.00035794,0,0,0,0.00033889,0,0.00117149,0.00028684,0.00043294,0.00031631,0.00030717,0.00046125,0.00026341,0,0.00015443,0,0.00048337,0,0,0,0.00132434,0.00278999,0.00079723,0,0.00153033,0.00082923,0.00112362,0,0.00183442,0.00171947,0.0010734,0,0.00083742,0,0,0,0,0.00068951,0.00089114,0,0,0.00103287,0.00318046,0.00106157,0,0.00116607,0.00105186,0,0,0,0.00208664,0,0.00213455,0,0.00105098,0.00059865,0,0.00127539,0,0.00097025,0.00073058,0,0.00049421,0.00046943,0,0,0.0002142,0,0,7.69E-05,7.10E-05,0.00222887,0.00186055,0,0.00117718,0,0,0.00135137,0.00156144,0.00057137,0,0.00058714,0,0.00030916,0,0.00022444,0,0.00023923,0,0,0.00096126,0.00042741,0,0.00066045,0,0.00088188,0,0,0,0.00049166,0,0,0,0.00042014,0,0.00141584,0,0,0,0,0.00196682,0,0,0,0,0.00060177,0,0.00016811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sample_5014,0,0.02618912,0,0,0,0.00182744,0,0.0008909,0,0.00124104,0.00242326,0.00133115,0.00136365,0.00214144,0,0.00352473,0,0.0012263,0,0,0.00112859,0.00087741,0.00113764,0.00060055,0,0,0.00042182,0.00097353,0.00152862,0.00166356,0,0.00108492,0,0,0,0,0.00068554,0,0.00073749,0,0,0,0.0005446,0.00029482,0.00091786,0.00058934,0,0.00025378,0.00062651,0,0.0001695,0,0,0.00031378,0.00030441,0,0.00069127,0.0003345,0.00034916,0.00048179,0,0.00029931,0,0,0.00029255,0,0.0003204,0,0,0,0.00084472,0.0021479,0.00075551,0,0.00123477,0,0.00197735,0,0.00122149,0.00067224,0.00075931,0,0.00049134,0,0,0,0,0,0.00119731,0.00018763,0,0,0.00187446,0.00090116,0.00134002,0,0.00078727,0,0,0,0.00162895,0,0.00088455,0,0,0.00046568,0,0.00104115,0,0,0.00148115,0,0.00051426,0,0.00049408,0,0,0,0,0,6.39E-05,0.00294518,0.00112059,0,0.0012066,0.00210906,0.00073514,0.00109346,0.00098419,0,0.00084123,0.00057568,0,0.00024636,0,0,0,0.00012309,0,0,0.00059046,0,0.00053239,0,0.00031346,0,0,0.00037563,0,0,0,0.00066616,0,0,0,0.00107022,0,0,0.00028152,0,0.00105576,0,0.00035456,0,0.00112174,0,0,0.00021423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sample_5015,0.00293233,0.02255575,0,0,0.00048864,0.00634418,0.00199382,0,0,0,0.00139641,0.00099578,0,0.00181294,0,0.00249848,0.0008041,0,0,0,0.00173405,0.00054787,0.00218245,0.00042668,0.00144968,0,0,0.0007484,0.00183337,0.00128608,0,0.00132113,0,0,0.00290573,0,0.00046089,0,0,0,0,0.00227462,0.00116776,0.0003225,0.0004912,0.00051658,0,0,0,0.00076262,0,0.00358302,0,0.0002906,0.00031505,0,0.00051998,0.00031693,0.00035428,0,0,0.00016424,0,0,0.0001574,0,0,0.00854471,0.00444154,0,0.00147517,0.0016983,0.00073976,0.0008397,0.00147915,0,0.00264259,0,0.00094796,0,0,0,0.00063935,0.0005974,0,0,0,0.00082494,0.00024152,9.43E-05,0.00435389,0,0.00116805,0.0008034,0,0.00062065,0.00063363,0,0.00299074,0,0,0,0.0011288,0,0,0.00109059,0.0006182,0,0,0.00076692,0,0.00024664,0,0,0,0,0,0,0,0,4.26E-05,0,0,0.00150663,0,0.00152463,0.00126038,0,0.00112989,0,0,0,0,0,0.00024036,0,0,0,0,0,0,0,0.00050557,0,0.00040895,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00040927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sample_5016,0.01312152,0.02220543,0,0,0.00274571,0.01109942,0.00277292,0,0,0.00145963,0.00263426,0.00122284,0.00181723,0.00254319,0,0.00216812,0,0.00111599,0,0,0.00104164,0.00095302,0,0.0005823,0.00107129,0.00117621,0,0.00156464,0,0.00198887,0.00088456,0.00102551,0,0,0,0,0.0005409,0.00128882,0.00081489,0,0.00062265,0.00081185,0.00075141,0.00028385,0.00067656,0.00085104,0,0.00025789,0.00084775,0.00031317,0.00015377,0.0002866,0,0.00042086,0.00028118,0,0.00038503,0.00040901,0.00031771,0.0002312,0,0,0,0,0.0002703,0,0.00018699,0,0.00092773,0,0.00158226,0.00125137,0.00074693,0.00055789,0.00099963,0,0.00198885,0,0.00115299,0.00071794,0.00060207,0,0.00111973,0,0.00056915,0,0.0008645,0,0,0.00015662,0,0,0.00099594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.68E-05,0,0,0,0,0,0,0,0.00068117,0,0,0.00068962,0,0,0,0,0.00027582,0,0.0001356,0,0.0011858,0,0,0.00048471,0.00034158,0,0,0,0,0,0,0,0,0,0,0,0.00162119,0,0,0,0,0,0,0,0,0,0,0,0,0.00081786,0.00061974,0.00044322,0.00034995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sample_5017,0.01100458,0.02317549,0.00055212,0,0,0.00488972,0.0022413,0,0,0,0.00233613,0.001087,0.00150623,0.00255344,0,0.00244543,0,0,0,0,0.00176664,0.00058242,0,0.00049377,0,0.00047779,0,0.00114236,0.00172118,0.00257184,0,0.00081017,0,0,0,0.00048835,0.00066505,0.00147392,0,0,0.00048641,0,0,0.00028629,0.0007188,0.00079601,0,0.00031406,0.00065143,0.00076652,0,0.000369,0,0.00046531,0.00033021,0,0.00049952,0.00030673,0.00034722,0.00040699,0,0,0,0,0.00025633,0.00014375,0.00016506,0.00330693,0.00109488,0,0.0016432,0.00120484,0,0,0.00158231,0,0.00294939,0,0.00108236,0,0,0,0.00090004,0,0,0,0.0003383,0,0.00086322,0,0.00196329,0,0.00182022,0,0.00118667,0,0,0,0,0,0,0,0.001552,0,0,0.00095986,0,0.00073634,0,0,0,0,0,0,0,0,0,0,0.00015061,0,4.23E-05,0,0.00135437,0,0,0,0,0.00079341,0,0,0,0.00064615,0,0,0.00029619,0.0002288,0.00046604,0,0,0,0.00072575,0.0002907,0.00047627,0.00071455,0,0.00155074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00030994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sample_5018,0,0.02376729,0,0.00042217,0,0.00396825,0,0.00087497,0,0.0009832,0.0026629,0.00125967,0.00151273,0.00200059,0,0.00214092,0,0.00156312,0,0,0.00138586,0.00078461,0.00064756,0.00069808,0,0,0,0.00137601,0.00193659,0.00186875,0.0011054,0.00085354,0,0,0,0.000381,0.00055603,0,0,0,0.00049324,0.00133517,0.00027083,0.00027101,0.00108862,0.00055465,0,0.00021486,0.00053792,0.0003413,0.00022288,0.00036746,0,0,0.00031208,0,0.00067655,0.0004415,0.00059613,0.00037676,0,0.00026609,0,0,0.00020792,0,0.00031846,0,0,0,0.00146526,0.00214387,0.00084866,0.00060393,0.00142078,0,0.0017482,0,0.0013586,0.00093941,0.00119126,0,0.00062833,0.00070802,0.00022818,0,0,0,0.00077035,0.00019276,0,0,0.00268502,0.00169147,0.00084792,0,0.00064493,0,0,0,0.00165643,0,0.00192043,0.00064181,0,0.00049068,0,0.00108351,0,0,0.00214668,0,0,0,0.00053144,0,0.00021421,0,0,6.26E-05,5.33E-05,0.00270247,0,0,0,0,0.00087596,0.00131396,0.00119056,0.0009399,0,0,0,0,0.00028457,0,0.00027218,0,0,0,0.00055495,0,0,0.00044243,0,0,0,0,0,0,0.00053359,0.00047249,0,0,0,0,0,0,0.00046098,0,0,0,0,0,0,0,0,0.00013005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sample_5019,0.02029084,0.02742224,0,0,0,0,0.00316095,0,0,0,0,0.00136862,0.00198382,0.002531,0,0.00140127,0,0,0,0,0.00125961,0.00076411,0,0.00067084,0.00119427,0.00059412,0,0,0.00197521,0.00167696,0.00105592,0.00047089,0,0,0,0.00046841,0.00064579,0,0.00151389,0,0,0,0,0.00029543,0.00091216,0,0,0.00027867,0.00102733,0.00027963,0,0.00018493,0,0,0.00026377,0,0.0005979,0.00021503,0.00039156,0.00052993,0,0.00053806,0,0,0.00030867,0.00018987,0.00016684,0.00478433,0.00088909,0.00209237,0.00161573,0.00096771,0,0,0.00124376,0.00060335,0.00132714,0.00170895,0.00167461,0.0007655,0.00087903,0,0,0,0,0,0,0.00046066,0.00100853,0.00017787,0,0,0,0,0,0.00078872,0.00070559,0,0,0,0.00089637,0,0.0013995,0,0.0011482,0,0,0.00068897,0,0.00090428,0.00069069,0,0,0.00198037,0,0,0,0,0,7.39E-05,0,0,0.00133865,0,0,0,0,0.0008037,0,0,0,0.00058033,0,0,0.00026959,0.00028946,0,0.00035795,0,0.00163789,0.00149613,0.00081796,0,0.00094567,0,0,0,0.00089387,0,0.00058119,0,0,0,0.00044066,0,0.00085607,0,0,0,0,0.00071901,0,0,0,0,0,0,0,0,0,0,0,0.00123561,0.00023932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sample_5020,0.00210712,0.01833365,0,0,0.00107702,0.00154586,0,0.00086152,0,0,0.0022664,0.00182286,0.00192095,0.00150706,0,0.00205441,0.00099348,0.00172116,0,0,0.00076222,0.00123746,0.00153937,0.00057501,0,0,0.0003379,0.0017947,0.0023686,0.00159897,0,0.00093321,0,0,0,0,0.00061977,0,0,0,0,0,0,0.00030665,0.00061855,0,0,0.0001918,0,0,0.00020823,0.00030485,0,0.00033851,0.000327,0.00040365,0.00046249,0.00027148,0.00053915,0.00030115,0,0.000341,0.00022251,0.00017605,0.00018432,0,0.00011354,0.00526442,0,0,0.00130785,0.00178932,0.00044515,0.00064675,0.00197465,0,0.00140647,0,0.00100763,0.00099537,0.00122723,0.00092256,0,0,0,0,0,0,0.00182453,0.00011614,0.00248955,0,0.00143044,0.00143318,0,0.00105757,0.00059239,0,0,0,0.00104722,0,0,0,0,0.00123164,0,0.00107004,0,0,0.0004917,0,0,0,0,0,0,0,0,6.57E-05,4.36E-05,0,0,0,0,0.00168153,0.00154768,0,0.00152633,0,0.00067394,0,0,0,0.0003202,0.00022613,0,0.00010774,0,0,0.00047986,0.00035926,0,0,0.0005174,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00063318,0,0,0,0,0,0,0,0,0.0001802,0,0,0,0.00032238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sample_5021,0.02859612,0.02751574,0,0.00042275,0,0.0027395,0.00356185,0.00050365,0,0,0.00244475,0.000948,0,0.00239682,0,0.00257573,0,0.00115614,0,0.00155879,0.00108427,0.00041102,0,0.00068374,0.00062667,0.00199635,0,0,0,0.00137397,0,0.00076971,0,0,0,0.00091359,0.00089629,0,0,0,0,0,0.00074855,0.00024933,0.00114287,0,0,0.00015965,0.00053681,0.00024628,0,0.00115156,0,0,0.00027893,0,0.00035052,0.00032534,0.00032834,0,0,0,0.00016776,0,0.00031279,0,0,0.00731936,0.00275353,0.00258476,0,0.00089833,0,0,0.00109324,0,0.0009677,0,0.00111338,0.00056964,0.00155407,0,0.00094057,0.00079281,0,0,0.00225803,0.00066462,0.00041927,0.00013538,0,0,0,0,0,0,0,0,0.00225494,0,0,0,0.00091364,0,0.00059318,0,0,0.00036645,0,0.00077328,0,0,0,0.00029145,0,0,0,0,0,5.37E-05,0,0.00250551,0.00100972,0,0,0,0,0.00036722,0,0,0,0,0,0,0,0.00034395,0,0.00013058,0,0,0,0,0,0.00049716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00023553,0,0.00037093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sample_5022,0.00437595,0.01703606,0.00232654,0,0,0,0.00696738,0,0,0,0.00263104,0.00268279,0.00310048,0.00223218,0.00055601,0.00143159,0,0,0.00044767,0,0.00128482,0.00090009,0.00115048,0.00095185,0,0,0,0.00130507,0,0.00097785,0,0,0,0,0,0.00039864,0.00063434,0.00141271,0.00130101,0,0.00045487,0,0.00045217,0.00045216,0.0006859,0.00061792,0,0.00018712,0.00063835,0.00031516,0.00041918,0.00058505,0,0,0.00042132,0.00087875,0.00062413,0,0.0003609,0,0,0.00056192,0,0,0.00021809,0,0.00010672,0.00775089,0.0011497,0,0.00111467,0.00347504,0,0,0.00112449,0.00107949,0,0,0.00196232,0.00170341,0.00080929,0,0,0.00057488,0.00053094,0,0,0.0004816,0.00143852,0.00059008,0.00212269,0,0.00323581,0.0019051,0,0.00176318,0.00080911,0,0,0,0.00157507,0,0.0025606,0,0.0011402,0.00145308,0,0.00182603,0,0,0,0,0,0.0014395,0.00048095,0,0,0,0,8.06E-05,5.89E-05,0.00229769,0.00105936,0,0,0,0,0.00134499,0.00103028,0,0,0.00092813,0,0.00026111,0,0.00022606,0,0.0001318,0,0,0.0010734,0.00052054,0,0.00097386,0,0.00172007,0,0,0,0.00048977,0,0,0,0.00047198,0,0.00147536,0,0,0,0,0,0.00071855,0,0,0,0,0,0.00070845,0,0,0,0,0,0,5.88E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sample_5023,0,0.01564863,0,0.00034841,0,0.00544774,0.00206573,0.00108733,0,0,0.00133115,0.00133574,0.00250655,0.00202885,0,0.00149749,0,0.0014048,0,0,0.0008529,0.00064752,0.00166177,0.00047631,0,0,0,0.00109599,0.00199757,0.00143615,0.00158971,0.00067899,0,0,0,0.00033404,0.00069111,0,0,0,0,0,0,0.00037361,0.00067591,0,0,0,0,0,0.0002004,0,0,0,0,0,0.00074143,0,0,0,0,0.00029578,0,0,0,0,0.00010823,0,0.00068498,0,0.00126554,0.0023967,0,0,0.00211656,0,0.00125555,0,0.00202374,0.0007375,0.00081891,0.000922,0.00111164,0,0,0,0,0,0.00043339,0.00022598,0,0,0,0.00114146,0,0.00162313,0.00066942,0,0.00156246,0,0.00166793,0,0.00155112,0,0.00053819,0.00089161,0,0.0016923,0,0.00076169,0.00107819,0.00034995,0,0.00054534,0,0,0,0,0,3.95E-05,6.27E-05,0,0,0,0.00151138,0.00184678,0.00151824,0.00131882,0.00236292,0.00087076,0.00073979,0.00054316,0,0.00024469,0,0.00025673,0,0.00020388,0,0,0.00073938,0,0.00081309,0,0.00104706,0,0,0,0,0.00039722,0,0,0,0.00030563,0.00106249,0,0,0,0.00033754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011291,0.00046215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sample_5024,0,0.01779454,0.00033168,0,0.00032431,0.00112577,0,0.00232856,0,0,0.00223926,0.00209733,0.00201602,0.00125806,0,0.00186668,0,0.00129707,0,0,0.00117504,0.00117417,0,0.00087892,0,0,0,0,0.00184288,0.00114585,0,0.00053054,0,0,0.00084763,0,0,0,0,0,0,0,0,0.00043942,0.00078037,0.00063303,0,0,0,0,0.00048155,0.00020877,0,0,0.00029559,0,0,0.00021874,0.00029605,0,0,0.00032884,0,0,0.00026324,0.00013525,0.00020374,0.00291542,0.00129563,0,0.00155074,0.00213153,0,0.00072605,0.0016828,0,0.00206909,0,0.00094604,0.00143498,0.00247577,0,0.00074487,0.00041863,0,0,0,0.00066669,0.00273572,0,0,0,0.00541518,0.00159542,0,0.00086967,0.00068432,0,0,0,0.00171196,0,0.00147375,0,0.00069807,0,0,0.00118975,0,0,0.00209893,0,0,0,0,0,0,0,0,4.92E-05,0,0,0.00085782,0,0.00125039,0.00108982,0,0.00102575,0.00258593,0.00108656,0.00072636,0.00071087,0,0,0.00023774,0,0.00036282,0,0.00028422,0,0.00069437,0,0,0,0,0,0,0,0,0.00046567,0,0,0,0,0,0,0,0,0.00032161,0,0,0,0,0.00097261,0,0,0,0.00014392,0,0,0,0.00026271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sample_5025,0.00998208,0.01196995,0.00034754,0.00169811,0,0.00217636,0.00101585,0,0,0,0.00142738,0.00149139,0.00151958,0.00226813,0.00105498,0.00160322,0,0,0,0.00144768,0.00127815,0.00125511,0.00200536,0.00089033,0,0,0.00032936,0.0028413,0.00285548,0.00168651,0,0.00094959,0,0,0,0.00059745,0.00083876,0,0,0,0,0.00106244,0,0.00035945,0.00046809,0,0,0,0,0.00039809,0,0.00061262,0,0,0,0,0.00097831,0.00023844,0,0,0,0,0.0001924,0,0.00015011,0.00012438,0.00015043,0.00964835,0.00151328,0.00204031,0.00209475,0,0,0,0.00130238,0,0.0020072,0,0.00100808,0.00076358,0.00130289,0,0,0.00056513,0.00035323,0.00041686,0,0,0.00086378,9.99E-05,0.0019137,0,0.00196561,0,0,0,0.0008426,0,0,0.00109293,0,0.00193568,0,0,0.00070813,0,0.00072697,0,0,0.00072115,0.00093724,0.00037383,0,0,0,0,0.00021898,0.00038412,0,4.23E-05,4.95E-05,0,0,0,0,0,0,0,0,0,0.0009408,0,0,0,0.00029886,0,0,0.00015536,0,0.00082484,0.00096984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0004063,0,0,0,0,0,0,0,0,0,0,0.0005955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sample_5026,0.0025353,0.01839845,0,0,0,0,0.00131864,0,0,0,0.00298312,0.00162249,0.00189347,0.00222182,0,0.0022344,0,0,0.00035751,0,0.00127562,0.00101936,0,0.00077518,0,0.00037314,0,0.00083739,0,0.00128893,0.00098185,0,0,0,0.0010491,0.00044121,0.00075705,0,0.0006045,0,0.00071577,0.00100176,0.0002997,0.00042428,0.00062117,0.0006181,0,0,0.00053085,0.00045647,0.00032531,0.0003912,0,0.00068545,0.00035373,0.00049516,0.00031367,0.00023363,0.00033739,0,0,0,0,0,0.0005319,0.0003233,0.00021746,0,0,0,0.00135817,0.00281586,0,0,0.00114236,0.00061267,0.00178874,0.0007293,0,0.00147502,0.00101044,0,0.00079552,0,0,0,0,0.00050845,0.00115318,0,0,0,0.00148652,0.00289818,0,0.00164869,0.00079789,0,0,0,0.00262064,0,0.00110619,0,0,0,0,0.00129251,0,0,0,0,0,0.00031216,0,0,0,0,0,5.46E-05,0,0,0.00117551,0,0.00127519,0,0,0.00099116,0.00263225,0.00067092,0,0.00073941,0,0,0,0,0,0.00033803,0,0,0.00082467,0,0,0,0,0.00252346,0,0,0,0,0.00077924,0,0,0,0,0,0,0,0.00054809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sample_5027,0.01003024,0.02152088,0.00075626,0.00143634,0.00084434,0.00293286,0.00145977,0.00108194,0,0,0.00242883,0.00124299,0.00229688,0.00268696,0,0.00235554,0,0.00116618,0,0,0.00101148,0.00156454,0.00140066,0.00044496,0.00075839,0,0.00057512,0.00122344,0,0.00186226,0.00096146,0.00078956,0,0,0,0.00054571,0.00075211,0,0.00066068,0.00074673,0.00090245,0,0,0.00038594,0.00065038,0.00049955,0,0.00018308,0.00055655,0.00042,0.00017433,0.00021757,0,0.00031034,0.00029547,0,0,0.00037984,0.00027313,0.00039796,0,0,0.00033414,0.0001689,0.00030503,0,0.00014761,0,0.00053833,0,0.00163292,0.00108466,0,0,0.00186581,0,0.00166913,0,0.00085991,0,0.0004737,0,0.0010621,0,0.00030214,0,0.00048538,0,0.0006406,0.00016896,0,0,0.00312665,0,0,0,0,0.00023555,0,0,0,0,0.00163211,0,0,0.00114818,0,0.00043326,0,0.00041206,0.00091739,0,0,0,0,0,0,0,0,0,0,0,0.00144821,0,0,0.00146392,0,0.00114473,0,0,0,0,0,0.00028876,0.00042891,0.00027788,0,0,0,0,0.00075989,0.00034899,0.00054252,0,0,0,0,0,0,0,0,0,0,0,0,0.00124547,0,0,0.00045435,0,0,0.00117688,0,0,0,0,0,0,0.00023248,0,0.00045545,0,0,0.00026863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
